"id","age","male","eduyears","employed","income"
1,55,0,14,1,1000
1,26,0,14,1,1200
2,34,1,12.5,1,NA
2,37,0,17,1,NA
3,24,0,12.5,1,150
4,47,0,12.5,1,300
4,21,1,17,1,930
4,29,1,17,1,930
5,47,0,17,1,590
5,22,1,17,1,900
6,38,1,17,1,2000
6,31,0,17,1,1200
7,26,1,17,1,1100
8,36,1,9.5,1,640
9,60,1,9.5,1,4000
10,45,0,17,1,NA
13,63,1,9.5,1,900
14,34,0,14,1,NA
15,35,0,14,1,2000
16,52,1,17,1,2300
17,49,0,7,1,900
18,50,0,12.5,1,900
19,41,0,9.5,1,150
19,24,0,12.5,1,NA
20,60,0,7,1,380
23,36,1,12.5,1,2000
24,37,1,9.5,1,1600
25,41,1,17,1,1400
29,46,0,9.5,1,250
30,25,1,7,1,500
31,46,0,9.5,1,300
32,25,1,12.5,1,560
33,55,1,7,1,800
33,21,1,12.5,1,160
34,50,0,17,1,2760
35,49,0,9.5,1,1000
36,42,1,7,1,1100
36,35,0,9.5,1,1000
38,19,1,12.5,1,100
39,29,1,12.5,1,800
40,29,1,17,1,1100
41,45,1,9.5,1,800
41,44,0,12.5,1,NA
42,20,0,7,1,NA
43,34,1,17,1,1000
43,35,0,14,1,600
46,27,0,14,1,300
47,67,0,7,1,300
48,60,1,12.5,1,500
48,58,0,9.5,1,180
49,26,0,7,1,100
50,30,1,9.5,1,400
50,37,0,17,1,900
52,61,0,7,1,2100
52,25,1,12.5,1,1500
55,31,1,14,1,1020
56,35,0,17,1,2000
57,64,1,7,1,1400
58,24,0,3.5,1,660
59,48,0,7,1,320
61,37,0,9.5,1,1600
62,45,0,7,1,823
62,19,0,12.5,1,262
63,45,0,7,1,680
63,19,0,12.5,1,100
63,18,0,9.5,1,100
64,54,0,17,1,NA
65,55,0,17,1,1400
66,47,0,17,1,1500
66,41,1,12.5,1,1500
67,47,0,17,1,1500
67,41,1,17,1,1500
68,56,0,17,1,3515
69,57,0,17,1,2620
70,60,1,9.5,1,3200
70,31,0,14,1,2000
70,27,0,14,1,600
71,61,1,7,1,3600
71,32,0,17,1,1850
71,27,0,12.5,1,620
72,32,1,7,1,1000
73,32,1,7,1,900
74,64,0,3.5,1,900
75,64,0,3.5,1,400
75,22,0,14,1,200
76,44,0,12.5,1,NA
77,56,0,17,1,NA
78,56,0,17,1,NA
79,24,1,12.5,1,800
80,25,1,12.5,1,500
81,68,0,12.5,1,900
82,69,0,12.5,1,NA
83,39,1,17,1,1000
83,36,0,12.5,1,900
84,39,1,17,1,800
85,56,1,7,1,NA
85,49,0,12.5,1,NA
86,56,1,7,1,600
86,49,0,12.5,1,500
87,66,1,14,1,400
88,66,1,12.5,1,500
88,28,1,14,1,300
89,50,0,7,1,NA
90,50,0,9.5,1,700
91,34,1,3.5,1,838
93,61,1,12.5,1,NA
93,35,0,14,1,300
93,31,1,14,1,900
94,61,1,12.5,1,706
94,36,0,14,1,NA
94,31,1,17,1,800
95,58,0,7,1,600
99,53,1,12.5,1,500
99,51,0,7,1,400
99,31,0,9.5,1,350
99,29,1,9.5,1,250
99,28,1,3.5,1,200
100,53,1,3.5,1,450
100,31,0,7,1,300
100,29,1,7,1,360
100,28,1,7,1,700
102,27,1,14,1,1130
103,54,1,9.5,1,3451
105,39,1,12.5,1,2460
105,40,0,17,1,1500
106,57,1,17,1,5000
107,49,1,17,1,3800
108,32,1,14,1,1000
109,30,1,9.5,1,100
109,34,0,17,1,1080
110,33,1,17,1,NA
110,38,0,17,1,NA
113,54,0,17,1,750
113,26,1,17,1,700
115,66,1,12.5,1,2000
116,29,1,12.5,1,NA
117,29,1,12.5,1,2700
121,61,0,14,1,1250
122,43,1,12.5,1,1570
122,42,0,12.5,1,1800
123,38,1,3.5,1,300
124,27,1,14,1,2100
124,26,0,14,1,150
125,57,1,17,1,NA
125,52,0,17,1,NA
126,57,1,17,1,6000
126,52,0,17,1,2000
128,41,1,17,1,2000
129,38,1,12.5,1,400
129,35,0,12.5,1,150
130,38,1,12.5,1,700
131,28,1,14,1,1200
131,48,0,9.5,1,NA
132,51,0,17,1,NA
133,63,1,7,1,900
133,56,0,7,1,500
133,26,0,14,1,600
138,32,0,7,1,400
138,46,1,12.5,1,500
138,24,0,7,1,400
139,29,1,12.5,1,1100
139,31,0,12.5,1,350
140,29,1,12.5,1,400
140,31,0,12.5,1,700
141,37,1,7,1,500
142,38,0,3.5,1,850
143,52,0,7,1,120
143,30,1,3.5,1,150
143,25,0,3.5,1,200
145,46,1,3.5,1,80
146,45,0,3.5,1,600
146,29,1,3.5,1,70
146,27,0,3.5,1,120
149,37,1,7,1,320
150,56,1,3.5,1,NA
150,35,0,7,1,500
151,47,1,17,1,10500
152,24,1,9.5,1,600
153,37,1,9.5,1,2500
153,37,0,17,1,3500
154,56,1,17,1,NA
154,57,0,12.5,1,700
154,34,1,17,1,NA
156,62,1,9.5,1,80
156,30,1,9.5,1,1200
156,26,1,14,1,1200
158,42,1,9.5,1,200
159,42,1,9.5,1,300
160,56,1,9.5,1,1200
161,43,1,17,1,700
161,43,0,14,1,900
162,43,1,12.5,1,1600
162,43,0,12.5,1,800
163,50,1,14,1,1800
164,50,1,14,1,2000
165,33,1,12.5,1,2500
165,33,0,17,1,2500
166,40,0,7,1,200
167,58,1,3.5,1,760
168,38,0,9.5,1,150
169,36,1,9.5,1,850
170,52,1,7,1,450
170,49,0,3.5,1,270
170,23,1,9.5,1,216
171,29,1,17,1,2500
172,30,1,17,1,1000
174,30,1,12.5,1,700
175,52,0,7,1,425
177,60,0,3.5,1,200
178,37,1,12.5,1,5000
179,58,1,3.5,1,NA
179,22,1,14,1,1400
180,68,1,9.5,1,1200
180,36,0,14,1,700
181,45,0,12.5,1,1200
182,50,1,17,1,3750
183,51,1,17,1,1700
183,50,0,17,1,2700
186,36,1,12.5,1,1200
187,55,0,17,1,30
188,98,1,7,1,500
189,35,1,9.5,1,300
190,52,1,7,1,300
190,52,0,9.5,1,600
190,21,0,12.5,1,600
190,28,1,7,1,500
191,55,1,9.5,1,650
191,27,1,9.5,1,400
191,24,1,9.5,1,1350
192,22,1,12.5,1,NA
193,34,1,7,1,400
193,34,0,7,1,150
194,30,1,12.5,1,400
195,53,1,14,1,2200
195,55,0,17,1,6200
197,46,1,9.5,1,NA
197,22,0,14,1,250
198,56,0,17,1,2200
198,26,0,17,1,1180
199,56,0,17,1,1200
199,26,0,17,1,700
200,58,1,7,1,6000
201,58,1,7,1,6000
