"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"11",12,493154,4931545,1999,19,"","","basal","no pobre",12042003,1,"si",5,"primaria",8,752.25,3.94,1,"Female","Non Indigenous",56,1,500,0,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,751,1.25,0
"12",12,333040,3330403,1999,16,"","0","basal","pobre",12004018,1,"si",2,"secundaria",6,758,3.03,1,"Male","Indigenous",40,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,751,7,0
"13",12,520856,5208564,1999,17,"","0","basal","pobre",12045016,1,"si",6,"primaria",7,668.5,4.87,1,"Female","Non Indigenous",47,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,751,-82.5,1
"22",12,321160,3211605,1999,13,"","si","basal","pobre",12069002,1,"si",5,"primaria",6,571.67,4.91,1,"Female","Indigenous",60,1,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,751,-179.33,1
"27",12,238327,2383275,1999,14,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,767.5,2.1,1,"Male","Non Indigenous",51,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,751,16.5,0
"33",12,430968,4309684,1999,13,"","si","basal","pobre",12004018,1,"si",5,"primaria",7,706,4.17,1,"Female","Indigenous",35,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,0,1,1,751,-45,1
"35",12,561291,5612914,1999,17,"","0","basal","no pobre",12045004,1,"si",6,"primaria",6,834.5,1.87,1,"Female","Non Indigenous",53,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,83.5,0
"37",12,493194,4931946,1999,15,"","0","basal","no pobre",12042003,1,"si",6,"primaria",8,756.33,2.54,1,"Female","Non Indigenous",43,1,600,100,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,751,5.33000000000004,0
"41",12,520789,5207892,1999,19,"","","basal","no pobre",12045016,1,"si",1,"secundaria",6,762,3.11,1,"Female","Non Indigenous",38,0,700,200,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,751,11,0
"43",12,236745,2367459,1999,13,"","si","basal","pobre",12028054,1,"si",6,"primaria",6,782.33,2.62,1,"Female","Non Indigenous",54,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,0,1,751,31.33,0
"50",12,238338,2383384,1999,16,"","0","basal","pobre",12028086,1,"si",6,"primaria",6,684.4,4.19,1,"Female","Non Indigenous",40,1,600,300,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-66.6,1
"55",12,520841,5208413,1999,18,"","0","basal","pobre",12045016,1,"",NA,"",NA,606.5,4.75,1,"Male","Non Indigenous",38,1,700,0,"1st Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,751,-144.5,1
"64",12,525007,5250073,1999,16,"","si","basal","pobre",12041030,1,"si",6,"primaria",6,466,5.01,1,"Male","Indigenous",34,1,500,600,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,751,-285,1
"71",12,396018,3960185,1999,16,"","0","basal","pobre",12002033,1,"si",3,"secundaria",6,636,4.26,1,"Male","Non Indigenous",47,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,751,-115,1
